"Job.Titles","Department","Annual.Salary"
"SERGEANT","POLICE",122568
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"CIVIL ENGINEER IV","WATER MGMNT",122112
"POLICE OFFICER","POLICE",86730
"FIRE ENGINEER-EMT","FIRE",118830
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"PARAMEDIC I/C","FIRE",91662
"SERGEANT","POLICE",115026
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",117384
"SERGEANT","POLICE",118836
"FIREFIGHTER/PARAMEDIC","FIRE",104814
"ENGINEERING TECHNICIAN VI","WATER MGMNT",123696
"FIREFIGHTER-EMT","FIRE",110196
"ASST CORPORATION COUNSEL II","LAW",80580
"CRIMINAL INTELLIGENCE ANALYST","POLICE",80652
"POLICE OFFICER","POLICE",106170
"PARAMEDIC I/C","FIRE",101052
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",90990
"POLICE COMMUNICATIONS OPERATOR II","OEMC",58560
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"ASST DIR OF INFORMATION SYSTEMS","FAMILY & SUPPORT",114384
"TRAFFIC ENGINEER IV","TRANSPORTN",92844
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES","OEMC",86328
"PROJECT COORD","HEALTH",63780
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",80616
"PERSONAL COMPUTER OPERATOR III","HEALTH",77772
"FIREFIGHTER-EMT","FIRE",114570
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"SENIOR ENVIRONMENTAL INSPECTOR","HEALTH",98016
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",82458
"SENIOR EQUITY OFFICER","PUBLIC LIBRARY",97260
"AUDITOR I","FINANCE",69180
"CIVIL ENGINEER II","WATER MGMNT",102516
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",118836
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II","HEALTH",85344
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"DETENTION AIDE","POLICE",62136
"SERGEANT","POLICE",115026
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",106170
"POLICE COMMUNICATIONS OPERATOR II","OEMC",74844
"FIREFIGHTER","FIRE",108036
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"SENIOR PUBLIC INFORMATION OFFICER","BUSINESS AFFAIRS",103920
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"PARAMEDIC","FIRE",93252
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",109236
"GENERAL COUNSEL","HEALTH",165288
"MANAGING DEPUTY COMMISSIONER","AVIATION",190044
"ASST TO THE ALDERMAN","CITY COUNCIL",46356
"PARAMEDIC I/C","FIRE",101052
"FIREFIGHTER-EMT","FIRE",94152
"PARAMEDIC","FIRE",84612
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"FREEDOM OF INFORMATION ACT OFFICER","POLICE",66984
"POLICE OFFICER","POLICE",95586
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"PARKING ENFORCEMENT AIDE","AVIATION",71436
"POLICE OFFICER","POLICE",98940
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER/PARAMEDIC","FIRE",104814
"FIREFIGHTER-EMT","FIRE",102372
"CULTURAL AFFAIRS COORD II","CULTURAL AFFAIRS",99228
"REGIONAL LIBRARY DIRECTOR","PUBLIC LIBRARY",97260
"CLINICAL THERAPIST III","POLICE",111816
"POLICE OFFICER","POLICE",102372
"SENIOR FISCAL POLICY ANALYST","FINANCE",94680
"AVIATION SECURITY OFFICER","AVIATION",71448
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",78024
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"PROGRAM AUDITOR II","HOUSING",89388
"BATTALION CHIEF - EMT","FIRE",165858
"VENTILATION AND FURNACE INSPECTOR","BUILDINGS",106704
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",98940
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"POLICE COMMUNICATIONS OPERATOR I","OEMC",53340
"SUPVSR OF COMPENSATION","BUSINESS AFFAIRS",103920
"CIVIL ENGINEER IV","TRANSPORTN",122112
"PUBLIC HEALTH ADMINISTRATOR I","HEALTH",93660
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"LIBRARY CLERK","PUBLIC LIBRARY",42144
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",135684
"POLICE OFFICER","POLICE",98940
"SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL","HEALTH",94704
"POLICE OFFICER","POLICE",102372
